*V1.1
*Phase Dynamics Razor Profile
*8560
*Variable Name,Slave,Modbus Address,Variable Type,Scale,r/w,n,Value List
Unlock,,999,bit,1,W,1,1,
Serial Number,,201,int,1,RW,1,8560
Oil P0,,39,float,1,RW,1,+3.0617e+01
Oil P1,,41,float,1,RW,1,-1.0330000e-01
Oil T0,,179,float,1,RW,1,+1.335700000e+00
Oil T1,,181,float,1,RW,1,-3.38000000e-02
Oil Low,,43,float,1,RW,1,+2.5000000000e+02
Oil High,,45,float,1,RW,1,+1.0000000000e+03
AO Trim Low,,107,float,1,RW,1,+4.082000000e+00
AO Trim High,,109,float,1,RW,1,+2.0373000000e+01
AI Trim Low,,169,float,1,RW,1,+9.96287200e+00
AI Trim High,,171,float,1,RW,1,+4.9835925000e+01
PDI Temp Adj,,781,float,1,RW,1,-4.0000000000e+00
D3,,117,float,1,RW,1,+0.000000000e+00
D2,,119,float,1,RW,1,+0.000000000e+00
D1,,121,float,1,RW,1,-2.860000000e-02
D0,,123,float,1,RW,1,+2.460000000e+01
Oil Dual Curve Cutoff,,69,float,1,RW,1,10.0
Number of Oil Temperature Curves,,60001,float,1,RW,1,5,
Oil Temperature List,,60003,float,1,RW,10,22.7,38.9,57.6,22.7,38.9,57.6,0.000000,0.000000,0.000000,0.000000,
Oil Curve 0,,60023,float,1,RW,4,-7.2115288E+02,+7.4152756E+00,-1.7338744E-02,+0.0000000E+00
Oil Curve 1,,60031,float,1,RW,4,-7.0705295E+02,+7.3490416E+00,-1.7338744E-02,+0.0000000E+00
Oil Curve 2,,60039,float,1,RW,4,-6.8942067E+02,+7.2653649E+00,-1.7338744E-02,+0.0000000E+00
Oil Curve 3,,60047,float,1,RW,4,+4.6434437E+04,-5.1598268E+02,+1.9194183E+00,-2.3892446E-03
Oil Curve 4,,60055,float,1,RW,4,+4.5455896E+04,-5.0867665E+02,+1.9057280E+00,-2.3892446E-03
Oil Curve 5,,60063,float,1,RW,4,+4.4239522E+04,-4.9952134E+02,+1.8884322E+00,-2.3892446E-03
