*V0.0.5,,,,,,,,,,,,,,,,
*Phase Dynamics Razor Profile,,,,,,,,,,,,,,,,
*,,,,,,,,,,,,,,,,
*Variable Name,Slave,Modbus Address,Variable Type,Scale,r/w,n,Value List,,,,,,,,,
*,,,,,,,,,,,,,,,,
*Oil Adjust is FP 15,,,,,,,,,,,,,,,,
*,,,,,,,,,,,,,,,,
*,,,,,,,,,,,,,,,,
Serial,,201,int,1,RW,1,0,,,,,,,,,
Oil P0,,39,float,1,RW,1,0,,,,,,,,,
Oil P1,,41,float,1,RW,1,0,,,,,,,,,
Oil T0,,179,float,1,RW,1,0,,,,,,,,,
Oil T1,,181,float,1,RW,1,0,,,,,,,,,
Oil Low,,43,float,1,RW,1,0,,,,,,,,,
Oil High,,45,float,1,RW,1,0,,,,,,,,,
AO Trim Low,,107,float,1,RW,1,0,,,,,,,,,
AO Trim High,,109,float,1,RW,1,0,,,,,,,,,
AI Trim Low,,169,float,1,RW,1,0,,,,,,,,,
AI Trim High,,171,float,1,RW,1,0,,,,,,,,,
PDI Temp Adj,,781,float,1,RW,1,0,,,,,,,,,
D3,,117,float,1,RW,1,0,,,,,,,,,
D2,,119,float,1,RW,1,0,,,,,,,,,
D1,,121,float,1,RW,1,0,,,,,,,,,
D0,,123,float,1,RW,1,0,,,,,,,,,
Oil Dual Curve Cutoff,,69,float,1,RW,1,0,,,,,,,,,
Number of Oil Temperature Curves,,60001,float,1,RW,1,0,,,,,,,,,
Oil Temperature List,,60003,float,1,RW,10,0,0,0,0,0,0,0,0,0,0
Oil Curve 0,,60023,float,1,RW,4,0,0,0,0,,,,,,
Oil Curve 1,,60031,float,1,RW,4,0,0,0,0,,,,,,
Oil Curve 2,,60039,float,1,RW,4,0,0,0,0,,,,,,
Oil Curve 3,,60047,float,1,RW,4,0,0,0,0,,,,,,
Oil Curve 4,,60055,float,1,RW,4,0,0,0,0,,,,,,
Oil Curve 5,,60063,float,1,RW,4,0,0,0,0,,,,,,
Oil Adjust,,15,float,1,RW,1,0,,,,,,,,,
Temp Adjust,,31,float,1,RW,1,0,,,,,,,,,
Proc Avg,,35,float,1,RW,1,0,,,,,,,,,
Oil Index,,37,float,1,RW,1,0,,,,,,,,,
AO LRV,,49,float,1,RW,1,0,,,,,,,,,
AO URV,,51,float,1,RW,1,0,,,,,,,,,
Density Adj,,111,float,1,RW,1,0,,,,,,,,,
Oil Density,,155,float,1,RW,1,0,,,,,,,,,
